NIT Proveedor,Proveedor, Fecha,Hora Pico,Trafco_Internacional,Trafico_Datos_NAPs,Trafico_Datos_Peering_Directo,Trafico_Datos_Local,Trafico_Datos_Total_Dia
800132211,HVTV,7/10/2020,18:00,0,0,26334,18224,654026
800132211,HVTV,7/11/2020,18:00,0,0,26847,20243,679168
800132211,HVTV,7/12/2020,18:00,0,0,28638,21397,704343
800132211,HVTV,7/13/2020,18:00,0,0,26833,19395,670086
800132211,HVTV,7/14/2020,18:00,0,0,28363,19576,679395
800132211,HVTV,7/15/2020,18:00,0,0,27945,19129,681091
800132211,HVTV,7/16/2020,18:00,0,0,28404,21340,694159
800132211,HVTV,7/17/2020,18:00,0,0,27895,19755,714333
800132211,HVTV,7/18/2020,18:00,0,0,28845,20988,756496
800132211,HVTV,7/19/2020,18:00,0,0,30744,22550,768398
800132211,HVTV,7/20/2020,18:00,0,0,29448,21542,765158
800132211,HVTV,7/21/2020,18:00,0,0,28125,20908,720424
800132211,HVTV,7/22/2020,18:00,0,0,28471,19249,700239
800132211,HVTV,7/23/2020,18:00,0,0,29574,20698,716558
800132211,HVTV,7/24/2020,18:00,0,0,29691,20253,743677
800132211,HVTV,7/25/2020,18:00,0,0,30537,22649,783345
800132211,HVTV,7/26/2020,18:00,0,0,31275,22868,803703
800132211,HVTV,7/27/2020,18:00,0,0,29650,19548,706784
800132211,HVTV,7/28/2020,18:00,0,0,30105,21030,727876
800132211,HVTV,7/29/2020,18:00,0,0,30240,21179,736851
830016046,AVANTEL,6/30/2020,22:00,0.0599,73809199,43128599,0,"194048,05"
830016046,AVANTEL,7/1/2020,22:00,0.0199,7096.48,43733701,0,"195542,63"
830016046,AVANTEL,7/2/2020,22:00,0.0299,73127598,43741401,0,"194472,23"
830016046,AVANTEL,7/3/2020,22:00,0.0399,75696299,44229102,0,"197472,33"
830016046,AVANTEL,7/4/2020,22:00,0.0099,77221201,43532798,0,"200611,27"
830016046,AVANTEL,7/5/2020,22:00,0.0199,76000898,46621401,0,"201498,91"
830016046,AVANTEL,7/6/2020,22:00,0.0399,7404.71,45654902,0,"198374,56"
830016046,AVANTEL,7/7/2020,22:00,0.0199,72262598,4311.48,0,"193060,67"
830016046,AVANTEL,7/8/2020,22:00,0.0199,73104199,43402002,0,"193996,16"
830016046,AVANTEL,7/9/2020,22:00,0.0299,74142002,45286401,0,"197653,27"
830016046,AVANTEL,7/10/2020,22:00,0.0199,76439502,4601.77,0,"203339,88"
830016046,AVANTEL,7/11/2020,22:00,0.0399,78457202,46072998,0,"207337,67"
830016046,AVANTEL,7/12/2020,22:00,0.0399,76331401,48281401,0,"207063,27"
830016046,AVANTEL,7/13/2020,22:00,0.0199,74753799,4647.79,0,"203685,45"
830016046,AVANTEL,7/14/2020,22:00,0.0199,75373101,4670.96,0,"202756,59"
830016046,AVANTEL,7/15/2020,22:00,0.0099,74599702,45648701,0,"204459,5"
830016046,AVANTEL,7/16/2020,22:00,0.0199,75838599,46921499,0,"208051,91"
830016046,AVANTEL,7/17/2020,22:00,0.0299,79011099,4649.52,0,"209856,52"
830016046,AVANTEL,7/18/2020,22:00,0.0099,81700498,46894702,0,"211447,42"
830016046,AVANTEL,7/19/2020,22:00,0.0299,81809702,47849302,0,"215039,52"
830016046,AVANTEL,7/20/2020,22:00,0.0099,81386099,47798901,0,"215345,45"
830016046,AVANTEL,7/21/2020,22:00,0.0199,78450498,46651602,0,"208487,09"
830016046,AVANTEL,7/22/2020,22:00,0.0199,79929199,45744302,0,"210291,25"
830016046,AVANTEL,7/23/2020,22:00,0.0299,79311099,47727798,0,"212193,94"
830016046,AVANTEL,7/24/2020,22:00,0.0199,81480298,46528799,0,"214401,89"
830016046,AVANTEL,7/25/2020,22:00,0.0199,86248301,4676.48,0,"216902,05"
830016046,AVANTEL,7/26/2020,22:00,0.0099,82296504,4851.79,0,"216101,05"
830016046,AVANTEL,7/27/2020,22:00,0.0099,78204302,4606.25,0,"207407,11"
830016046,AVANTEL,7/28/2020,22:00,0.0199,8034.54,4572.75,0,"206394,06"
830016046,AVANTEL,7/29/2020,22:00,0.0099,77831899,4347.98,0,"209895,95"
830016046,AVANTEL,7/30/2020,22:00,0,79568901,46536499,0,"206666,8"
830016046,AVANTEL,7/31/2020,22:00,0.0199,82574697,45281099,0,"210653,63"
830016046,AVANTEL,8/1/2020,22:00,0.0099,8549.29,45020098,0,"212185,92"
830016046,AVANTEL,8/2/2020,22:00,0,81147402,46384199,0,"207884,63"
830016046,AVANTEL,8/3/2020,22:00,0.0099,79257002,41736299,0,"204525,05"
830016046,AVANTEL,8/4/2020,22:00,0.0099,78353198,4664.23,0,"207012,06"
830016046,AVANTEL,8/5/2020,22:00,0.0099,8077.75,46647598,0,"209928,67"
830016046,AVANTEL,8/6/2020,22:00,0.0299,84012598,4740.96,0,"216822,98"
830016046,AVANTEL,8/7/2020,22:00,0.0199,84931797,47800698,0,"222230,83"
830016046,AVANTEL,8/8/2020,22:00,0,86390098,47395601,0,"220198,06"
830016046,AVANTEL,8/9/2020,22:00,0.0099,82749102,48107998,0,"219957,16"
830016046,AVANTEL,8/10/2020,22:00,0.0199,80596499,47108799,0,"212423,84"
830016046,AVANTEL,8/11/2020,22:00,0.0299,81746499,47497202,0,"211093,2"
830016046,AVANTEL,8/12/2020,22:00,0.0299,80669302,46738901,0,"215668,95"
830016046,AVANTEL,8/13/2020,22:00,0.0099,88048203,40348799,0,"208187,17"
830016046,AVANTEL,8/14/2020,22:00,0.0299,84097803,4697,0,"217332,45"
830016046,AVANTEL,8/15/2020,22:00,0.0199,85320498,45724102,0,"221022,95"
830016046,AVANTEL,8/16/2020,22:00,0,80646802,46886401,0,"218828,61"
830016046,AVANTEL,8/17/2020,22:00,0.0199,83534004,4631.27,0,"217495,88"
830016046,AVANTEL,8/18/2020,22:00,0,77974199,43913701,0,"211425,02"
830016046,AVANTEL,8/19/2020,22:00,0.0199,78374302,43701602,0,"206595,97"
830016046,AVANTEL,8/20/2020,22:00,0.0199,75793901,44298901,0,"204223,53"
830016046,AVANTEL,8/21/2020,22:00,0.0299,76080298,44064399,0,"205475,59"
830016046,AVANTEL,8/22/2020,22:00,0.0099,77984702,4336.29,0,194844
830016046,AVANTEL,8/23/2020,22:00,0.0199,73705298,4495.27,0,"202817,78"
830016046,AVANTEL,8/24/2020,22:00,0.0099,7351.02,43122402,0,"197024,45"
830016046,AVANTEL,8/25/2020,22:00,0,73911201,43336401,0,"198389,06"
830016046,AVANTEL,8/26/2020,22:00,0,73948701,44168999,0,"200893,09"
830016046,AVANTEL,8/27/2020,22:00,0.0199,72727402,4325.29,0,"202390,2"
830016046,AVANTEL,8/28/2020,22:00,0.0199,7247.75,43532402,0,"201335,88"
830016046,AVANTEL,8/29/2020,22:00,0.0299,7342.27,42879102,0,"199548,97"
830016046,AVANTEL,8/30/2020,22:00,0,72311001,44986802,0,"198203,34"
830016046,AVANTEL,8/31/2020,22:00,0.0299,73330601,4322.46,0,"197036,06"
830016046,AVANTEL,9/1/2020,22:00,0,70947998,4285.04,0,"197597,53"
830016046,AVANTEL,9/2/2020,22:00,0,73411899,42966602,0,"199595,19"
830016046,AVANTEL,9/3/2020,22:00,0,72476899,43447202,0,"199594,47"
830016046,AVANTEL,9/4/2020,22:00,0,73874702,42906899,0,"189411,89"
830016046,AVANTEL,9/5/2020,22:00,0.0099,7890.98,3576.01,0,"194506,92"
830016046,AVANTEL,9/6/2020,22:00,0,71956602,44943999,0,"193605,63"
830016046,AVANTEL,9/7/2020,22:00,0,6994.5,43154399,0,"193041,91"
830016046,AVANTEL,9/8/2020,22:00,0,7143.46,42180698,0,"196638,81"
830016046,AVANTEL,9/9/2020,22:00,0,67423198,53903701,0,"201692,67"
830016046,AVANTEL,9/10/2020,22:00,0,67182002,4939.71,0,"204268,36"
830016046,AVANTEL,9/11/2020,22:00,0.0099,6947.21,46643301,0,"203763,59"
830016046,AVANTEL,9/12/2020,22:00,0.0399,70296099,4455.54,0,"198406,61"
830016046,AVANTEL,9/13/2020,22:00,0.0399,70651201,4589.29,0,"196705,03"
830016046,AVANTEL,9/14/2020,22:00,0.0599,68571299,4356.04,0,"195189,72"
830016046,AVANTEL,9/15/2020,22:00,0.0199,7011.98,44086401,0,"197204,72"
830016046,AVANTEL,9/16/2020,22:00,0.0299,70451401,42627002,0,"200188,39"
830016046,AVANTEL,9/17/2020,22:00,0.0099,6963.96,42646299,0,"195436,02"
830016046,AVANTEL,9/18/2020,22:00,0.0199,69190298,42994102,0,"196544,69"
830016046,AVANTEL,9/19/2020,22:00,0.0399,71402598,3830.55,0,"195430,77"
830016046,AVANTEL,9/20/2020,22:00,0.0199,69063799,43737998,0,"189506,61"
830016046,AVANTEL,9/21/2020,20:00,0.0599,6768.54,42918198,0,"191699,78"
830016046,AVANTEL,9/22/2020,20:00,0.0199,68871899,4140.04,0,"191343,19"
830016046,AVANTEL,9/23/2020,22:00,0.0599,72024302,42855698,0,"199975,72"
830016046,AVANTEL,9/24/2020,22:00,0.0399,71151201,4363.5,0,"200012,98"
830016046,AVANTEL,9/25/2020,22:00,0.0399,70791201,42175498,0,"198681,11"
830016046,AVANTEL,9/26/2020,22:00,0.05,70791201,43341802,0,"196617,56"
830016046,AVANTEL,9/27/2020,22:00,0.05,73319702,44795098,0,"195955,16"
830016046,AVANTEL,9/28/2020,20:00,0.0399,69430601,42643398,0,"193925,63"
830016046,AVANTEL,9/29/2020,20:00,0.0199,69468198,40496399,0,"194086,69"
800132211,HVTV,7/30/2020,18:00,0,0,30100,21226,729129
800132211,HVTV,7/31/2020,18:00,0,0,28714,19356,713566
800132211,HVTV,8/1/2020,18:00,0,0,28417,20417,722995
800132211,HVTV,8/2/2020,18:00,0,0,29133,21414,736570
800132211,HVTV,8/3/2020,18:00,0,0,28890,19759,676630
800132211,HVTV,8/4/2020,18:00,0,0,29443,19797,682149
800132211,HVTV,8/5/2020,18:00,0,0,29515,19719,698576
800132211,HVTV,8/6/2020,18:00,0,0,28381,21385,695811
800132211,HVTV,8/7/2020,18:00,0,0,27189,21508,728632
800132211,HVTV,8/8/2020,18:00,0,0,26550,21691,712951
800132211,HVTV,8/9/2020,18:00,0,0,28462,22124,737542
800132211,HVTV,8/10/2020,18:00,0,0,26883,20796,667828
800132211,HVTV,8/11/2020,18:00,0,0,30258,20509,732747
800132211,HVTV,8/12/2020,18:00,0,0,30231,19536,719236
800132211,HVTV,8/13/2020,18:00,0,0,30744,21451,728190
800132211,HVTV,8/14/2020,18:00,0,0,29286,20113,753861
800132211,HVTV,8/15/2020,18:00,0,0,29502,21655,768052
800132211,HVTV,8/16/2020,18:00,0,0,30991,22439,784058
800132211,HVTV,8/17/2020,18:00,0,0,30393,21655,786823
800132211,HVTV,8/18/2020,18:00,0,0,30033,22439,703436
800132211,HVTV,8/19/2020,18:00,0,0,30744,20724,725014
800132211,HVTV,8/20/2020,18:00,0,0,30564,21104,728978
800132211,HVTV,8/21/2020,18:00,0,0,29520,19191,722638
800132211,HVTV,8/22/2020,18:00,0,0,29389,20389,728967
800132211,HVTV,8/23/2020,18:00,0,0,31270,21933,761248
800132211,HVTV,8/24/2020,18:00,0,0,29727,18405,707961
800132211,HVTV,8/25/2020,18:00,0,0,31293,20108,715834
800132211,HVTV,8/26/2020,18:00,0,0,30780,19621,718556
800132211,HVTV,8/27/2020,18:00,0,0,30690,20550,739540
800132211,HVTV,8/28/2020,18:00,0,0,29461,19430,736268
800132211,HVTV,8/29/2020,18:00,0,0,29754,20144,722444
800132211,HVTV,8/30/2020,18:00,0,0,31770,21563,758754
800132211,HVTV,8/31/2020,18:00,0,0,31108,19224,628603
800132211,HVTV,9/1/2020,18:00,0,0,30451,18935,690660
800132211,HVTV,8/2/2020,18:00,0,0,28971,18287,692560
800132211,HVTV,9/3/2020,18:00,0,0,29326,18639,670842
800132211,HVTV,9/4/2020,18:00,0,0,27310,17406,659437
800132211,HVTV,8/5/2020,18:00,0,0,26644,18058,642524
800132211,HVTV,9/6/2020,18:00,0,0,26766,18486,622846
800132211,HVTV,9/7/2020,18:00,0,0,28048,17924,632156
800132211,HVTV,9/8/2020,18:00,0,0,30051,18823,674082
