fecha,metro,metrobus,tren_ligero,trolebus,rtp,ecobici,mexibus,mexicable,tren_suburbano
19/06/2020,-65.32322931,-70.30515185,-88.06851651,-57.67641183,-49.52431385,-75.72985326,-56.20884847,-39.96377408,-71.43811304
20/06/2020,-64.1579955,-67.45086049,-87.86435839,-60.31385567,-52.75056277,-65.03470292,-48.14344283,-38.33321939,-61.66662261
21/06/2020,-67.1423653,-64.57388426,-89.18079407,-67.28513404,-59.76916599,-64.37888592,-54.20666695,-42.91044776,-63.75594209
22/06/2020,-64.70935589,-66.48250145,-87.95780126,-64.6748486,-52.99462418,-82.57562157,-57.17754449,-43.58387119,-71.62934371
23/06/2020,-65.66627952,-70.18973037,-88.44036916,-65.01056893,-50.32515259,-81.15145119,-59.14005642,-42.613797,-72.38834755
24/06/2020,-65.2485092,-69.11755099,-87.62249896,-60.90860356,-52.10001896,-79.10645277,-56.7247456,-40.74419606,-71.33688314
25/06/2020,-65.35994652,-69.52299422,-88.42945591,-57.77425851,-49.86529597,-79.51158109,-56.83218057,-40.85668367,-71.51280906
26/06/2020,-64.47322427,-68.40332377,-86.65602211,-56.53541992,-47.90058856,-74.31174295,-55.76211561,-40.02963939,-70.98980168
27/06/2020,-62.61906566,-65.44054282,-85.14958832,-58.16083672,-49.34586013,-57.1139316,-48.57333295,-37.27353524,-61.65164451
28/06/2020,-64.47685286,-63.6555706,-84.48025541,-64.86430221,-59.44591858,-59.55607475,-53.36276286,-41.91641791,-63.08178479
29/06/2020,-61.22877649,-64.43700215,-86.0326246,-53.78993667,-46.97622103,-78.20442323,-51.92295289,-36.35921993,-68.01367131
30/06/2020,-61.43560885,-65.23467156,-86.43530655,-54.75144007,-44.29669961,-75.05024481,-54.43568394,-34.99434549,-68.82962112
01/07/2020,-58.98509914,-64.61325543,-87.42084764,-54.89567105,-45.42053315,-75.7653304,-51.90333034,-32.59176863,-67.62067763
02/07/2020,-58.13350227,-65.12133327,-86.50327324,-54.50658302,-47.03681537,-73.19275425,-52.75760202,-33.77122493,-68.0461586
03/07/2020,-56.46505076,-65.0658685,-86.78703609,-50.3436715,-45.74854982,-73.95897918,-52.11614368,-35.55738515,-67.49641376
